0,1,2,3,label
-2.0658243,-3.6756818,2.045351,-4.553134,2
-5.816944,-7.7326045,8.005582,-5.588766,2
-6.436883,-0.3606105,4.0305176,-14.122469,2
15.948426,-19.167366,30.17442,-131.97902,2
2.0539238,-3.0672355,-4.78472,-4.453111,0
12.887049,-7.7147794,-16.250587,-15.215372,0
-10.8131895,-7.5667014,12.927347,-3.6541605,2
-2.829569,40.870365,-50.51437,-106.0428,1
-1.2011839,-12.109339,-7.8004737,0.33285236,0
-7.1843953,8.881994,-1.5234126,-25.43371,1
-11.478336,9.029093,-13.145105,-0.13110013,1
6.9539194,-3.831418,-4.1160493,-11.361482,0
-12.564322,-8.492137,-4.7616053,8.674649,3
-5.8429656,-2.4778624,-5.3701477,1.993149,3
-4.1647086,14.262848,-8.1608305,-21.454445,1
-1.5016421,0.054421693,-8.271344,-3.523848,1
0.9924524,-6.5399237,-6.553514,-0.72824246,0
-2.3830237,-4.4592147,8.0615015,-12.923058,2
7.0711813,-10.374596,-3.0821495,-8.090357,0
-6.727752,-17.040466,-18.993603,16.137295,3
-4.4160914,15.23685,-4.868015,-26.986795,1
-11.3881855,-4.827222,6.564234,-4.278262,2
-3.2061057,-7.1353626,5.5562873,-7.69119,2
-0.07850364,-3.5364623,-5.636755,-2.4217856,0
-35.695923,53.485638,-35.666218,-74.740715,1
-5.030203,-4.713318,9.303186,-15.651787,2
-2.6666615,-1.9664366,-6.9110117,-5.5911984,1
6.3555694,-3.85824,-6.4594555,-7.399724,0
-10.189868,4.587987,-5.7301874,-5.331708,1
-2.0418706,4.211642,-9.074581,-1.539999,1
5.2790027,-9.682275,-2.7507405,-7.295856,0
3.6610255,-5.0971355,-3.6530895,-1.7405894,0
-5.6724834,-6.961942,5.983339,-1.9383378,2
-4.752668,2.2662866,-8.572673,-3.511815,1
10.0944,-8.42119,-5.799676,-15.942781,0
-11.208358,-3.02345,7.9242725,-3.6258678,2
2.9661746,-4.478195,-8.622817,-3.6467981,0
-8.753727,-3.1839113,3.3332133,-1.0670738,2
-12.023634,-4.698583,20.966595,-25.720755,2
4.9706163,-6.2670636,20.042292,-52.740273,2
3.2714267,-7.985815,-7.4292774,-3.7768388,0
-6.5682864,-1.3438938,-8.68231,4.5972147,3
-11.029446,-5.8029785,12.533727,-6.4523687,2
-9.112686,-1.1952343,4.6572556,-4.3517923,2
-4.1544886,-3.9587612,20.572535,-33.470547,2
1.8385077,-1.695816,-5.7099175,-4.0501757,0
5.7548337,-11.303605,-16.52495,-8.304313,0
4.374485,-2.3736427,-9.149589,-0.68588066,0
5.0683994,-2.3811538,-5.0105276,-4.1325507,0
-1.5200903,-7.2790074,4.043555,-8.399121,2
18.43588,-35.120014,-21.439447,5.1724825,0
-5.1705766,-4.672794,4.172558,-7.7128143,2
-7.8846455,-13.452736,-83.762566,31.03279,3
-15.2433195,-2.3296342,-1.9040602,6.063438,3
-10.118373,4.981308,-5.214689,-1.6352873,1
-15.252663,-19.22634,-1.7544804,7.1368003,3
-62.868603,124.265366,-106.07236,-269.12766,1
-2.1367955,-3.7734256,6.1335135,-3.7291532,2
-41.67417,-19.132208,-31.756948,14.379469,3
-4.1768765,-0.23726097,13.20808,-33.361126,2
-4.7844405,-1.7692187,-7.912872,3.3711958,3
-5.7533917,0.93492407,0.5053028,-3.8258874,1
-12.167483,8.429224,-13.379073,-0.37252522,1
-8.01423,-2.4201121,-9.285274,2.9860394,3
-7.752034,-2.600997,-3.8071005,3.1586668,3
-1.410987,0.6475529,-8.924778,-4.183771,0
-7.290179,-6.159731,-13.965139,3.3437479,3
-9.031724,3.6143687,-0.42779538,-2.2228413,1
-11.90356,-4.082651,-8.321698,11.852471,3
-46.45049,-26.43815,-11.534075,22.553991,3
6.7343225,-3.2134373,-5.602875,-5.139412,0
2.4044378,-3.9489946,-6.57057,-2.334129,0
-5.632271,-7.0383716,12.8202915,-8.672307,2
-5.1106567,-5.0743976,-2.6356678,4.479446,3
-8.878036,6.0925426,-2.0501664,-10.644374,1
-9.936546,5.4597507,-2.6610816,-5.54655,1
-5.263248,-0.89364165,5.5674496,-7.5594645,2
26.796623,1.6348605,-10.574226,-58.746555,0
-31.270039,140.74275,-131.0554,-236.7426,1
-70.38608,-23.574316,-22.67321,26.590544,3
-14.750702,2.3727508,10.991201,-7.500018,2
-6.221599,4.7788663,-9.164232,-1.5918127,1
-2.760147,2.6427476,-8.3442545,-2.4226892,1
-3.6225986,-5.6896467,24.08232,-38.821438,2
-7.8222785,-7.600165,13.249988,-6.944225,2
0.6963394,-5.0156918,-4.552689,-6.2524786,0
5.888564,-0.26997623,-5.3559265,-9.236834,0
-12.29128,2.5584283,-8.455055,5.2025414,3
-18.603848,24.991125,-22.371998,-45.88724,1
4.7415214,-7.1812987,-3.862621,-6.589547,0
0.24352896,17.572569,-11.209057,-31.00302,1
-3.3445814,-4.395756,4.9198008,-7.0736427,2
-12.859241,-2.3756168,7.990751,-11.429805,2
-2.7587552,-1.3983684,5.980751,-11.117392,2
-7.632753,-4.5244036,9.027354,-6.961724,2
-14.664164,-27.318848,-18.485561,22.523212,3
-13.211864,-5.115672,10.396694,-15.248515,2
-6.3339715,-2.09334,-5.0997715,1.7838479,3
