lda1,lda2,label
1.731955646,0.512973243,2
-1.904359211,1.079158429,0
-1.17963505,1.337473269,1
-2.13479843,-1.973706441,3
-1.433409552,1.547650391,1
-2.17710759,-3.370895899,3
5.082771984,0.512565243,2
2.687199948,1.035161493,2
-1.227932352,2.019445159,1
-1.958087673,-1.742503188,3
-0.215462988,0.591993895,0
-1.172472821,1.047560237,0
-0.774655154,0.886847617,0
-0.889149601,-3.448352003,3
-0.20773013,0.748411063,1
-1.65007331,0.841997837,0
-0.994099738,-0.826142303,1
-2.854362004,2.150666358,0
-1.134014087,0.256388462,1
-0.291767938,-2.139394009,3
3.58552213,-0.162392579,2
-0.236570723,-3.409407413,3
-0.729579827,0.22021812,1
-0.570334766,1.433656453,0
1.523875918,0.085970238,2
-3.254625725,-2.964778978,3
-1.965489457,0.947880603,0
-1.062062204,2.156947533,0
4.941756916,-1.006700968,2
-1.602194972,0.274192694,0
3.820368764,0.069078708,2
-1.607607363,1.446617701,1
1.286782498,0.058215901,2
4.770062717,-0.56874916,2
2.374335478,0.833183112,2
3.872996218,0.390897485,2
-1.85315562,-2.130094485,3
-2.728279552,-3.139275407,3
-1.9700667,-2.853141497,3
-0.804384369,2.224440956,0
5.138343758,-0.104587015,2
5.390913719,-0.120948372,2
-1.296396345,-0.359784691,0
-1.48088078,2.393106465,0
-1.250264585,0.566427695,1
-1.322664293,0.009761623,1
-2.013465304,-2.91476532,3
-1.696537889,-1.889001176,3
-1.444490219,-0.288361935,0
3.986326928,0.867661256,2
6.714748194,0.679992391,2
-2.789721186,-2.274841444,3
3.589148583,0.578986669,2
-2.652769047,-3.082848218,3
-2.027880458,1.237392593,0
0.144074245,2.283195782,0
-1.701078859,1.608801181,1
2.851762496,-0.881542907,2
4.517473704,-0.932175871,2
-1.25709599,1.792844729,1
-0.583182759,0.329191469,1
3.301074486,-0.160833154,2
-2.571756602,2.149288094,0
-0.580254576,2.601064946,0
-1.303948591,0.501217381,0
-1.91358939,1.681551804,0
-2.22550319,2.177053057,0
-2.31240565,-2.74557788,3
-2.052562622,-1.752844219,3
2.324667381,2.179236347,2
-0.469716376,1.671976383,0
-0.282727248,1.547101995,0
-0.465369111,2.673825045,0
-2.199802912,-4.167469645,3
-2.583392135,0.135861188,1
-0.938738741,1.281759937,0
-1.497270835,0.774377864,1
4.990379494,-1.217256818,2
-0.949747216,0.003618073,3
-1.725004146,1.587610729,0
-0.481027551,-2.660211345,3
-1.721192053,1.771474623,0
3.955823437,0.476240915,2
-1.046743874,-1.349266636,3
-2.172949687,1.572728265,0
