0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,label
6.394879,4.9028163,4.1554966,0.021027349,6.148893,0,0,6.600102,0.05354847,0,0,0,2.6199403,0,0.7884615,2.7645247,0,0,4.8811626,0,0.19211388,0,5.524477,5.9526796,0,0,1.842934,2.5066864,0.8471784,7.011369,3.2430272,5.830882,3
4.009921,3.8745186,3.770458,0,3.8927286,0,0,4.9528174,0.41006428,0,0,0,2.295816,0,1.2930334,3.0145802,0,0,3.218755,0,0,0,4.267686,3.6310198,0,0,0.8006085,2.040579,1.2151685,5.239214,3.035754,3.692934,3
2.5681207,0.18926412,1.2279962,2.85891,2.4423516,2.1581306,4.8576508,0,4.9443655,1.9860437,2.8415525,0,0,0.88636726,0,0.15787072,3.516022,3.8585894,0.521967,4.804896,3.0094929,0,4.5156026,1.7624776,0,2.433673,2.8966355,0,1.1646216,0,1.5076554,3.47592,2
2.9462585,2.5038505,3.3202193,0,2.4837492,0,0.65374064,3.11318,1.3361329,0,0,0,0.7577869,0,0,1.4970255,0,0,0.4022012,0.8357768,0,0,4.6840034,1.6370384,0,0,0.95757085,0,2.0356946,2.9111369,3.0584052,3.103107,3
2.702089,0,0,3.3948326,2.5880058,2.6025436,4.200257,0,4.4587517,2.1968703,3.0881958,0,0,0.9833018,0,0,3.4696195,3.4837766,0.4033216,4.677602,3.5101366,0,3.8152888,1.8019571,0,2.8763251,2.926031,0,0.23537832,0,0.49317876,3.3176615,2
1.0173659,2.9983187,2.577994,0,0.25766626,1.4529973,0.46335685,3.437407,0,1.0529218,1.2118793,2.6257985,5.26904,1.6248208,5.289828,6.978364,0.8863327,1.6959976,5.31546,0.29072136,0,0,0.7056758,3.966705,3.1209722,1.4164252,0,5.0892005,0.60540247,3.240449,2.7081704,0.12758513,1
0.2921573,1.3054047,2.6925561,0,0,0.60690993,2.6890814,0.5959898,2.3712611,0.13653034,1.2578329,0.39867473,1.6380396,0.3127174,2.4859748,3.750744,1.685721,2.6124945,0.7849973,2.387946,0,0,2.4804897,0.6461362,1.4385918,0.4611634,0,0.77602595,1.7790031,0,3.2593403,0.65072584,0
0.82734144,1.4494798,2.5565157,0,0.1474716,0,1.4132857,1.3660038,1.4000165,0,0.1980677,0.028019607,1.2298299,0,1.5116177,2.786798,0.5425749,1.1513451,0.7480573,1.2037342,0,0,2.2405715,0.735945,0.45236844,0,0.08995101,0.6403549,1.3467574,0.8228483,2.7133343,1.0351539,0
0,0.4940139,1.5728453,0.029394697,0,1.6410282,4.4665847,0,3.3471336,0.9541661,2.2540402,0.80161524,1.4933434,0.898197,2.9252908,3.6520538,3.5252914,4.8682165,0.31398493,3.523184,0,0,2.181868,0.08536935,3.3072505,1.5170561,0,0.6351942,2.2221649,0,2.6453679,0,0
4.6939907,2.2198057,2.0580742,2.4413052,4.7780695,1.7214357,2.6018877,2.849292,2.6885169,2.1010604,1.6688379,0,1.0184038,0.59100634,0.26850796,1.2971367,1.6926448,1.8251923,3.5147793,2.6338098,2.3945556,0,4.9315357,4.6102943,0,2.0031238,2.6630147,0.47928122,0.73023397,2.4730754,1.7827655,5.080933,2
1.8799626,2.2605605,1.7395262,0,1.592444,0.7303972,0,2.9600635,0,0.71866405,0.5548644,1.1390529,2.8364444,0.747134,2.596532,3.7601836,0.262729,0.48286664,3.9180417,0.020406097,0,0,1.0847499,3.3382785,0.953091,0.9005072,0,3.1155643,0,2.9607375,1.607783,1.2520292,3
4.5673804,1.4577022,1.366633,3.0779705,4.7529306,2.4018269,2.893524,2.1590214,2.8373365,2.5132284,2.2421486,0,0.72525877,0.8629495,0,0.6030922,2.232758,2.0745647,3.3472936,3.0817223,3.1190872,0,4.7631006,4.5915112,0,2.5527525,2.828869,0.09393034,0.32728133,1.8560895,1.3611134,5.080939,2
4.688903,0.35905483,1.2165908,5.2736754,4.8840036,3.3462312,6.4078746,0,6.7499843,3.617499,3.83746,0,0,1.0465988,0,0,4.5596075,4.836553,1.5950196,6.5696125,5.192217,0,7.0236425,3.6110969,0,3.6908255,4.577181,0,1.1613218,0,1.5849783,6.1878633,2
0.39818293,1.5725948,1.1204107,0,0,2.1023045,0.6340466,1.8463465,0,1.6581751,1.7450823,2.939632,3.9886708,1.948782,4.2169995,5.297299,1.4720374,2.0248013,4.6070156,0.469413,0,0,0,3.286653,3.0833342,2.2279458,0,4.1905384,0,1.7380972,1.3693641,0,1
3.2407355,0,0,5.3173485,4.0954366,5.5011153,5.3712626,0,4.4646797,4.772486,5.539536,1.0012727,0.12915047,3.754118,0,0,5.5050983,5.1329575,3.0704577,5.253729,5.169098,0,3.4067204,4.379183,0.20963532,5.895249,3.3135154,0,0,0,0,3.8388155,2
0,1.5520946,2.633783,0,0,0.74804974,4.88785,0,4.195685,0.36194998,1.6186014,0,1.1246383,0.21663778,3.1137767,3.9785748,2.8291407,4.589461,0,3.6164246,0,0,3.7113037,0,3.2265167,0.87128687,0.23793557,0.10559647,3.5206728,0,3.4640493,0.010216564,0
